Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,,,
1,Cleveland Cavaliers,79,240.3,44.6,90.6,.493,15.9,41.4,.384,28.7,49.1,.585,17.1,21.9,.781,11.1,34.0,45.1,28.3,8.2,4.3,13.1,18.1,122.3
2,Memphis Grizzlies,79,240.3,44.7,93.3,.479,13.8,37.8,.366,30.8,55.5,.556,18.5,23.5,.787,12.9,34.5,47.4,28.4,8.9,5.7,15.8,20.9,121.7
3,Denver Nuggets,80,242.2,45.4,89.8,.506,12.1,32.1,.378,33.3,57.7,.578,17.8,23.1,.769,11.2,34.4,45.7,31.0,8.0,4.9,14.3,17.7,120.7
4,Oklahoma City Thunder,80,240.3,44.5,92.5,.481,14.5,38.6,.376,30.1,54.0,.557,16.7,20.4,.819,10.6,34.0,44.6,26.8,10.3,5.7,11.8,19.9,120.3
5,Atlanta Hawks,79,241.3,43.2,91.9,.470,13.4,37.6,.356,29.8,54.3,.549,18.1,23.2,.778,11.9,32.4,44.3,29.5,9.7,5.2,15.5,19.2,117.9
6,Chicago Bulls,80,240.9,43.2,91.9,.470,15.5,42.1,.368,27.7,49.8,.556,15.9,19.7,.808,10.0,35.6,45.6,29.0,7.5,4.7,14.7,17.7,117.7
7,Indiana Pacers,79,241.6,43.6,88.9,.490,13.2,35.7,.370,30.4,53.2,.571,16.9,21.4,.791,9.0,32.5,41.5,29.4,8.5,5.3,13.2,18.7,117.3
8,Boston Celtics,80,241.9,41.6,90.0,.463,17.8,48.2,.368,23.9,41.7,.572,15.4,19.3,.801,11.4,33.8,45.2,26.1,7.1,5.5,11.9,16.0,116.4
9,New York Knicks,79,242.5,43.5,89.3,.488,12.5,33.9,.369,31.0,55.4,.560,16.6,20.7,.800,10.9,32.0,42.9,27.5,8.1,4.0,13.3,17.0,116.1
10,Sacramento Kings,80,242.5,43.1,90.2,.478,12.6,35.3,.357,30.5,54.9,.555,17.3,21.5,.804,11.0,33.2,44.2,26.4,7.6,4.4,13.4,19.0,116.0
11,Detroit Pistons,79,241.3,42.5,89.6,.474,12.7,35.2,.361,29.8,54.4,.548,17.5,22.5,.779,11.4,33.6,44.9,26.3,8.1,5.2,14.9,20.7,115.2
12,Milwaukee Bucks,79,240.6,41.8,86.2,.485,14.0,36.4,.384,27.8,49.8,.559,17.2,23.0,.750,8.3,35.2,43.4,25.4,7.3,4.6,13.4,17.9,114.8
13,Houston Rockets,80,241.3,42.5,93.4,.455,12.6,35.7,.353,29.9,57.7,.518,16.9,22.8,.739,14.7,33.9,48.7,23.3,8.5,5.0,13.9,19.0,114.4
14,Dallas Mavericks,80,240.6,42.0,87.7,.478,12.5,34.2,.365,29.5,53.5,.551,17.9,23.2,.771,10.1,32.9,43.0,25.2,7.8,5.4,13.9,17.9,114.3
15,San Antonio Spurs,80,240.6,41.8,89.9,.465,14.2,39.8,.357,27.6,50.1,.551,16.2,21.0,.772,11.0,32.6,43.6,28.7,8.2,5.6,13.9,16.8,114.0
16,Minnesota Timberwolves,79,241.9,40.9,87.6,.466,15.1,39.9,.377,25.8,47.7,.541,17.1,21.7,.788,11.1,33.1,44.2,26.1,8.0,4.9,14.5,18.3,113.9
17,Golden State Warriors,80,240.3,40.8,90.6,.450,15.4,42.5,.363,25.4,48.2,.527,16.8,22.0,.763,12.7,32.9,45.6,29.1,9.3,4.7,14.0,19.2,113.9
18,Phoenix Suns,80,241.9,41.2,86.2,.478,14.3,37.8,.378,26.9,48.4,.556,17.1,21.1,.811,9.5,32.9,42.4,27.8,7.2,4.8,14.1,18.2,113.8
19,Los Angeles Lakers,80,240.6,40.9,85.5,.478,13.3,36.5,.365,27.6,49.1,.563,18.4,23.3,.789,9.7,32.8,42.4,26.0,7.7,4.4,13.9,17.2,113.5
20,Los Angeles Clippers,80,241.3,41.5,86.4,.481,12.5,33.6,.373,29.0,52.8,.549,17.4,21.8,.798,10.3,33.6,43.9,25.2,9.5,4.6,14.9,18.3,112.9
21,Utah Jazz,80,241.6,40.3,88.5,.456,13.9,39.5,.351,26.4,49.0,.540,17.5,22.6,.773,11.9,33.4,45.3,25.6,6.8,4.4,17.3,19.0,112.0
22,Portland Trail Blazers,80,241.3,40.6,90.2,.451,13.0,37.8,.343,27.7,52.4,.528,17.0,22.2,.765,13.2,31.4,44.5,23.8,8.3,5.3,15.9,19.0,111.2
23,Toronto Raptors,80,241.6,41.6,90.8,.458,11.8,33.9,.349,29.8,57.0,.523,15.9,21.2,.750,12.6,32.6,45.2,28.6,8.1,4.3,15.4,21.3,110.9
24,Miami Heat,80,243.1,40.1,86.7,.463,13.7,37.3,.367,26.5,49.4,.536,16.0,20.3,.791,9.7,33.5,43.2,26.3,8.1,3.8,13.7,15.6,110.0
25,New Orleans Pelicans,79,240.9,40.7,89.7,.454,12.0,34.4,.350,28.7,55.3,.519,16.5,21.9,.754,12.1,31.4,43.5,25.8,8.6,5.4,14.6,18.3,110.0
26,Philadelphia 76ers,80,241.6,39.7,87.2,.455,12.7,37.1,.342,27.0,50.1,.539,17.6,22.6,.779,10.4,29.3,39.6,23.2,9.2,4.4,13.6,19.1,109.7
27,Washington Wizards,80,240.6,39.4,89.9,.438,13.1,39.2,.335,26.3,50.7,.518,16.2,20.8,.780,10.7,33.1,43.7,25.0,7.7,5.2,15.6,19.9,108.1
28,Charlotte Hornets,80,240.9,38.4,89.1,.431,13.0,38.3,.339,25.4,50.8,.500,15.6,19.9,.785,12.2,32.9,45.1,24.3,7.4,4.5,15.5,18.8,105.5
29,Brooklyn Nets,79,241.3,37.7,86.2,.438,13.5,39.3,.344,24.2,46.9,.516,16.3,20.7,.790,10.9,30.4,41.3,25.2,7.8,4.4,15.1,20.6,105.2
30,Orlando Magic,80,240.6,38.0,85.8,.443,11.2,35.3,.316,26.9,50.5,.532,18.0,23.2,.775,11.2,30.7,41.9,22.9,8.8,5.9,14.1,20.2,105.1